tool_name,PMID,publicationDOI,URL,biotoolsID,commit_id_260317
brainageR,37843020,10.1002/hbm.26502,https://github.com/james-cole/brainageR,,3f53965001a992bf54cea46382e10c5b96c40a15
pyCancerSig,32245405,10.1186/s12859-020-3451-8,https://github.com/jessada/pyCancerSig,,eafc86d032abf4ab03cec10f49cbac4bce2e072d
ClusterApp,39045504,10.1002/ece3.11695,https://github.com/JohannaMz/ClusterApp,,2f3585b73daba423659af9e6bcd8c192bd739647
Tquery,36091995,10.7717/peerj-cs.1037,https://github.com/jolie/tquery,,2bd9ac0dd5ecb9a9b9772d5314060fdb56b44b21
MODER2,31999322,10.1093/bioinformatics/btaa045,https://github.com/jttoivon/moder2,,e89ab1d1229845e38a6ebc948eb40c189e907ff1
Simultant,35597909,10.1186/s12859-022-04728-5,https://github.com/juliusbierk/simultant,,9d454b58797399f60812c4d8c482a57e82b5dba7
NGSremix,34015083,10.1093/g3journal/jkab174,https://github.com/KHanghoj/NGSremix,,0fe49fead55eeb40fe6cc9ce36c36edc3670ab75
pycofitness,38335928,10.1093/bioinformatics/btae074,https://github.com/KIT-MBS/pycofitness,,ed078604e2f909c47349dffc0419c901e1755ffc
MS2Quant,37548594,10.1021/acs.analchem.3c01744,https://github.com/kruvelab/MS2Quant,,d01f631a9c434a1eb2548ac53e38374f905355b8
MS2Tox,36269851,10.1021/acs.est.2c02536,https://github.com/kruvelab/MS2Tox,,4cc84c5bbec05afa4fc46e46ba6f52084941d868
kboolnet,37308855,10.1186/s12859-023-05329-6,https://github.com/Kufalab-UCSD/kboolnet,,10b9380eeba9531f48db0a657b366351a9413840
ion-to-image i2i,37505508,10.1021/acs.analchem.3c01615,https://github.com/LanekoffLab/i2i,,4d5496bc4cb3e9750582bbec66e019c298e6785c
EDIR,36453866,10.1093/bioinformatics/btac771,https://github.com/lauravongoc/EDIR,,d3b813c1e7df3b1239e8f8f010115c89b07151ce
